wall_time_iso,wall_time_s,wrench_stamp_s,abs_force_x,abs_force_y,abs_force_z,abs_torque_x,abs_torque_y,abs_torque_z,delta_force_x,delta_force_y,delta_force_z,delta_torque_x,delta_torque_y,delta_torque_z,grad_force_x,grad_force_y,grad_force_z,grad_torque_x,grad_torque_y,grad_torque_z
2026-04-15T16:37:56.135782+00:00,1776271076.135782003,44.156000000,-0.518758914,-7.666704903,18.822837454,0.021964366,-0.037743121,-0.001068057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2026-04-15T16:37:56.281749+00:00,1776271076.281749010,44.256000000,-0.844350598,-8.158757227,18.727353999,0.091904525,0.076272309,0.010818772,-0.325591684,-0.492052324,-0.095483455,0.069940159,0.114015430,0.011886829,-3.255916837,-4.920523238,-0.954834549,0.699401589,1.140154297,0.118868290
2026-04-15T16:37:56.451844+00:00,1776271076.451843977,44.358000000,-0.987606138,-8.008932660,18.846341096,-0.042407255,0.026332903,-0.022118238,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2026-04-15T16:37:56.579145+00:00,1776271076.579144955,44.458000000,-0.685753645,-8.130259073,19.091836259,0.020238112,0.001619415,-0.061742935,0.301852493,-0.121326413,0.245495162,0.062645367,-0.024713488,-0.039624697,3.018524931,-1.213264135,2.454951624,0.626453668,-0.247134881,-0.396246974
2026-04-15T16:37:56.708759+00:00,1776271076.708759069,44.540000000,-0.540411635,-7.831658528,19.260546825,0.072841723,-0.093622866,-0.000073364,0.145342010,0.298600545,0.168710566,0.052603611,-0.095242281,0.061669572,1.453420102,2.986005451,1.687105663,0.526036108,-0.952422814,0.616695718
2026-04-15T16:37:56.867789+00:00,1776271076.867789030,44.640000000,-0.593255354,-7.900495912,18.323345155,0.017264411,-0.077679269,0.038721316,-0.052843719,-0.068837384,-0.937201671,-0.055577311,0.015943598,0.038794680,-0.528437192,-0.688373841,-9.372016705,-0.555773111,0.159435978,0.387946797
2026-04-15T16:37:56.998871+00:00,1776271076.998871088,44.740000000,0.051306617,-8.436575494,18.934519785,0.029924125,-0.050606263,0.041831959,0.644561971,-0.536079582,0.611174630,0.012659713,0.027073005,0.003110643,6.445619707,-5.360795815,6.111746300,0.126597134,0.270730052,0.031106434
2026-04-15T16:37:57.165568+00:00,1776271077.165568113,44.840000000,-0.339572209,-7.649409819,18.678067041,-0.047106276,-0.124610665,0.063795453,-0.390878826,0.787165675,-0.256452744,-0.077030401,-0.074004401,0.021963493,-3.908788259,7.871656751,-2.564527440,-0.770304008,-0.740044014,0.219634933
2026-04-15T16:37:57.291505+00:00,1776271077.291505098,44.940000000,-0.306494841,-8.246721967,19.217394673,0.049809184,-0.111539749,-0.032494246,0.033077368,-0.597312148,0.539327632,0.096915460,0.013070916,-0.096289698,0.330773682,-5.973121484,5.393276321,0.969154604,0.130709161,-0.962896984
2026-04-15T16:37:57.435375+00:00,1776271077.435374975,45.040000000,-0.324586673,-7.556113612,19.486334460,0.132450632,-0.017717565,-0.091035618,-0.018091832,0.690608355,0.268939787,0.082641448,0.093822183,-0.058541372,-0.180918319,6.906083554,2.689397874,0.826414480,0.938221835,-0.585413719
2026-04-15T16:37:57.582532+00:00,1776271077.582531929,45.140000000,-0.391355950,-8.295875253,19.288258029,0.125211603,-0.040425623,-0.038288548,-0.066769277,-0.739761641,-0.198076431,-0.007239029,-0.022708058,0.052747070,-0.667692771,-7.397616410,-1.980764314,-0.072390291,-0.227080577,0.527470697
2026-04-15T16:37:57.733240+00:00,1776271077.733239889,45.240000000,-0.334973332,-8.143134127,18.828648358,0.066347145,0.051366757,-0.048096292,0.056382618,0.152741126,-0.459609670,-0.058864458,0.091792380,-0.009807744,0.563826181,1.527411255,-4.596096703,-0.588644582,0.917923796,-0.098077443
2026-04-15T16:37:57.892814+00:00,1776271077.892813921,45.340000000,-0.100316497,-7.994804312,19.273188056,0.006112586,-0.008002612,-0.004103932,0.234656835,0.148329815,0.444539698,-0.060234560,-0.059369369,0.043992360,2.346568348,1.483298153,4.445396976,-0.602345595,-0.593693689,0.439923599
2026-04-15T16:37:58.037134+00:00,1776271078.037133932,45.440000000,-0.141181782,-8.044667383,19.117902384,-0.047220414,-0.046829845,-0.044213938,-0.040865285,-0.049863071,-0.155285672,-0.053333000,-0.038827233,-0.040110006,-0.408652850,-0.498630707,-1.552856720,-0.533329999,-0.388272331,-0.401100059
